row_date,value_amoni,value_water,value,mes,dia,hora,minuts,is_drift,dangerous_drift,n
2020-06-18 00:00:25,0.2578594088418491,-0.3140539945796958,-1.76767834282559,06,18,00,00,True,True,2
2020-06-18 00:01:25,0.2682313986504449,-0.255035696790048,-1.7874345199825332,06,18,00,01,True,True,2
2020-06-18 00:02:26,0.2682313986504449,-0.2423240634199701,-1.8586390751523487,06,18,00,02,True,True,2
2020-06-18 00:03:27,0.2578594088418491,-0.2718332123147939,-1.8001937177297256,06,18,00,03,True,True,2
2020-06-18 00:04:28,0.2578594088418491,-0.2214406657405563,-1.7483337526927498,06,18,00,04,True,True,2
2020-06-18 00:05:28,0.2578594088418491,-0.2082750454644041,-1.8034864139225493,06,18,00,05,True,True,2
2020-06-18 00:06:29,0.2578594088418491,-0.2718332123147939,-1.7154067907645112,06,18,00,06,True,True,2
2020-06-18 00:07:31,0.2578594088418491,-0.3562747768445977,-1.7289891625599096,06,18,00,07,True,True,2
2020-06-18 00:08:32,0.2578594088418491,-0.3644465411539334,-1.8199498948866688,06,18,00,08,True,True,2
2020-06-18 00:09:33,0.2578594088418491,-0.3644465411539334,-1.813364502501021,06,18,00,09,True,True,2
2020-06-18 00:10:34,0.2578594088418491,-0.3349373922591097,-1.605513055329015,06,18,00,10,True,True,2
2020-06-18 00:11:34,0.2682313986504449,-0.2931705969002819,-1.8327090926338607,06,18,00,11,True,True,2
2020-06-18 00:12:35,0.2682313986504449,-0.1919315168457324,-1.8001937177297256,06,18,00,12,True,True,2
2020-06-18 00:13:36,0.2682313986504449,-0.1660542631995022,-1.839294485019509,06,18,00,13,True,True,2
2020-06-18 00:14:37,0.2682313986504449,-0.1660542631995022,-1.647083344763416,06,18,00,14,True,True,2
2020-06-18 00:15:38,0.2786033884590406,-0.1533426298294243,-1.6573730203659909,06,18,00,15,True,True,2
2020-06-18 00:16:39,0.2786033884590406,-0.0094287806038987,-1.5178450191950794,06,18,00,16,True,True,2
2020-06-18 00:17:39,0.2837893833633383,-0.0816126986696986,-1.481625361074017,06,18,00,17,True,True,2
2020-06-18 00:18:40,0.2941613731719341,-0.1156617166252646,-1.4425245937842337,06,18,00,18,True,True,2
2020-06-18 00:19:42,0.2941613731719341,-0.0012570162945629,-1.2865331116492031,06,18,00,19,True,True,2
2020-06-18 00:20:42,0.299347368076232,0.0623011505558269,-1.3322192713246344,06,18,00,20,True,True,2
2020-06-18 00:21:43,0.3045333629805298,-0.0521035497748748,-1.244551235190699,06,18,00,21,True,True,2
2020-06-18 00:22:44,0.3149053527891255,0.0831845482352407,-1.101730537826964,06,18,00,22,True,True,2
2020-06-18 00:23:45,0.3200913476934234,0.1217734352515488,-1.0881481660315655,06,18,00,23,True,True,2
2020-06-18 00:24:46,0.3304633375020191,0.1217734352515488,-1.056044378151533,06,18,00,24,True,True,2
2020-06-18 00:25:47,0.3304633375020191,0.1848776151958644,-1.1338343257069967,06,18,00,25,True,True,2
2020-06-18 00:26:47,0.3460213222149126,0.1299451995608846,-1.056044378151533,06,18,00,26,True,True,2
2020-06-18 00:27:48,0.3563933120235084,0.1090618018814708,-0.961379362607847,06,18,00,27,True,True,2
2020-06-18 00:28:48,0.3615793069278064,0.0795526529866469,-0.7601133078214883,06,18,00,28,True,True,2
2020-06-18 00:29:49,0.3719512967364018,0.0709269017712369,-0.8185586652441119,06,18,00,29,True,True,2
2020-06-18 00:30:51,0.3771372916406998,0.1848776151958644,-0.6588628998921546,06,18,00,30,True,True,2
2020-06-18 00:31:52,0.403067266162189,0.1594543484557085,-0.7662871131830331,06,18,00,31,True,True,2
2020-06-18 00:32:53,0.4082532610664869,0.1721659818257865,-0.5810729523366909,06,18,00,32,True,True,2
2020-06-18 00:33:54,0.4186252508750827,0.1930493795052002,-0.4641822374914437,06,18,00,33,True,True,2
2020-06-18 00:34:55,0.4341832355879761,0.1004360506660607,-0.2464527017409659,06,18,00,34,True,True,2
2020-06-18 00:35:56,0.4393692304922741,0.1426568329309626,-0.220111132198375,06,18,00,35,True,True,2
2020-06-18 00:36:57,0.4549272152051676,0.0922642863567249,-0.1126869189074965,06,18,00,36,True,True,2
2020-06-18 00:37:58,0.4704851999180613,0.1930493795052002,0.0202556898777668,06,18,00,37,True,True,2
2020-06-18 00:39:00,0.480857189726657,0.1004360506660607,0.0334264746490622,06,18,00,39,True,True,2
2020-06-18 00:40:01,0.5016011693438482,0.0795526529866469,0.0593564571675502,06,18,00,40,True,True,2
2020-06-18 00:41:02,0.517159154056742,0.1131476840361387,0.2709121875564833,06,18,00,41,True,True,2
2020-06-18 00:42:03,0.5275311438653376,0.1894174842566065,0.1762471720127972,06,18,00,42,True,True,2
2020-06-18 00:43:04,0.5430891285782311,0.0663870327104948,0.1799514552297241,06,18,00,43,True,True,2
2020-06-18 00:44:05,0.5638331081954225,0.1807917330411965,0.4561263484028255,06,18,00,44,True,True,2
2020-06-18 00:45:06,0.5793910929083163,0.0795526529866469,0.348702135111947,06,18,00,45,True,True,2
2020-06-18 00:46:07,0.5949490776212096,0.1172335661908066,0.420318277305866,06,18,00,46,True,True,2
2020-06-18 00:47:08,0.6105070623341033,0.0958961816053186,0.5339162959582893,06,18,00,47,True,True,2
2020-06-18 00:48:09,0.6208790521426991,0.0745587970198306,0.5442059715608638,06,18,00,48,True,True,2
2020-06-18 00:49:10,0.6416230317598903,0.0877244172959828,0.5828951518265442,06,18,00,49,True,True,2
2020-06-18 00:50:11,0.657181016472784,0.1131476840361387,0.5046936172469775,06,18,00,50,True,True,2
2020-06-18 00:51:12,0.6727390011856774,0.1426568329309626,0.706371259057439,06,18,00,51,True,True,2
