row_date,value_amoni,value_water,value,mes,dia,hora,minuts,is_drift,dangerous_drift
2020-06-18 12:29:02,0.18785310734463273,0.4758325774264611,0.7026056627000411,0.5,0.0,0.5217391304347826,0.4915254237288136,True,True
2020-06-21 16:17:47,0.4661016949152542,0.8006997537903331,0.6765490356996308,0.5,0.75,0.6956521739130435,0.288135593220339,False,False
2020-06-18 04:39:36,0.45338983050847453,0.27640274718154734,0.09643003693065265,0.5,0.0,0.17391304347826086,0.6610169491525424,True,True
2020-06-22 09:59:02,0.11299435028248586,0.24996760399118836,0.58258104226508,0.5,1.0,0.391304347826087,1.0,False,False
2020-06-18 10:00:33,0.17796610169491522,0.12077232085007128,0.5015387771850637,0.5,0.0,0.43478260869565216,0.0,True,True
2020-06-19 00:56:20,0.574858757062147,0.5264999352079824,0.07047599507591318,0.5,0.25,0.0,0.9491525423728814,True,True
2020-06-20 22:09:15,0.7909604519774012,0.7681741609433718,0.7705170291341814,0.5,0.5,0.9565217391304348,0.15254237288135594,False,False
2020-06-18 00:12:35,0.35734463276836154,0.48658805235195024,0.05026672137874452,0.5,0.0,0.0,0.2033898305084746,True,True
2020-06-21 16:56:26,0.3601694915254237,0.7911105351820655,0.6774723020106689,0.5,0.75,0.6956521739130435,0.9491525423728814,False,False
2020-06-21 17:45:22,0.2796610169491526,0.7657120642736815,0.08750512925728371,0.5,0.75,0.7391304347826086,0.7627118644067796,False,False
2020-06-19 21:28:43,0.6228813559322034,0.7451082026694311,0.8564833812064013,0.5,0.25,0.9130434782608695,0.4745762711864407,True,True
2020-06-20 18:28:50,0.21468926553672318,0.9323571336011401,0.41895773491998367,0.5,0.5,0.782608695652174,0.4745762711864407,False,False
2020-06-18 07:31:16,0.29519774011299427,0.11351561487624726,0.7308165777595403,0.5,0.0,0.30434782608695654,0.5254237288135594,True,True
2020-06-22 00:25:38,0.5918079096045198,0.37670079046261506,0.06319244973327877,0.5,1.0,0.0,0.423728813559322,False,False
2020-06-19 00:08:35,0.7316384180790961,0.5809252300116626,0.8726918342224046,0.5,0.25,0.0,0.13559322033898305,True,True
2020-06-18 11:21:51,0.20480225988700565,0.34171310094596347,0.3946450553959787,0.5,0.0,0.4782608695652174,0.3559322033898305,True,True
2020-06-20 20:05:18,0.3601694915254237,0.8671763638719708,0.723533032416906,0.5,0.5,0.8695652173913043,0.0847457627118644,False,False
2020-06-22 01:46:00,0.9322033898305085,0.55423091875081,0.7243537135822733,0.5,1.0,0.043478260869565216,0.7796610169491526,False,False
2020-06-18 00:16:39,0.3601694915254237,0.5386808345211871,0.12064013130898661,0.5,0.0,0.0,0.2711864406779661,True,True
2020-06-20 22:37:40,0.693502824858757,0.7366852403783855,0.8776159212146082,0.5,0.5,0.9565217391304348,0.6271186440677966,False,False
